iter	Passed	Remaining
216	1801	6500
217	1802	6465
218	1803	6430
219	1803	6395
220	1805	6363
221	1806	6330
222	1807	6296
223	1807	6262
224	1808	6229
225	1809	6197
226	1810	6166
227	1811	6134
228	1812	6102
229	1813	6070
230	1813	6038
231	1814	6006
232	1815	5975
233	1815	5944
234	1816	5913
235	1817	5882
236	1817	5851
237	1818	5823
238	1819	5794
239	1820	5765
240	1821	5735
241	1822	5707
242	1822	5678
243	1823	5649
244	1823	5620
245	1824	5592
246	1825	5564
247	1825	5536
248	1826	5508
249	1827	5481
250	1827	5454
251	1828	5427
252	1829	5400
253	1829	5373
254	1830	5347
255	1830	5321
256	1837	5312
257	1838	5288
258	1839	5263
259	1840	5238
260	1841	5213
261	1841	5188
262	1842	5163
263	1843	5138
264	1843	5114
265	1844	5090
266	1845	5066
267	1846	5042
268	1846	5018
269	1847	4994
270	1848	4972
271	1849	4949
272	1850	4927
273	1851	4904
274	1851	4882
275	1852	4860
276	1853	4838
277	1854	4816
278	1855	4793
279	1855	4771
280	1856	4750
281	1857	4728
282	1857	4706
283	1858	4685
284	1859	4663
285	1859	4642
286	1860	4621
287	1860	4600
288	1861	4580
289	1863	4561
290	1864	4542
291	1865	4522
292	1866	4503
293	1867	4485
294	1868	4465
295	1869	4445
296	1869	4425
297	1870	4406
298	1871	4386
299	1871	4367
300	1872	4348
301	1872	4328
302	1873	4309
303	1874	4291
304	1874	4272
305	1875	4253
306	1876	4235
307	1877	4217
308	1878	4200
309	1878	4182
310	1879	4164
311	1880	4146
312	1880	4128
313	1881	4110
314	1882	4092
315	1882	4075
316	1883	4057
317	1884	4040
318	1884	4023
319	1885	4006
320	1885	3989
321	1886	3972
322	1887	3955
323	1887	3938
324	1888	3922
325	1889	3905
326	1889	3889
327	1890	3873
328	1892	3860
329	1893	3844
330	1894	3829
331	1895	3813
332	1896	3798
333	1897	3782
334	1897	3767
335	1898	3752
336	1899	3737
337	1900	3721
338	1900	3706
339	1901	3690
340	1902	3675
341	1902	3660
342	1903	3645
343	1904	3630
344	1904	3616
345	1905	3601
346	1906	3587
347	1907	3573
348	1908	3559
349	1908	3544
350	1909	3530
351	1909	3516
352	1910	3501
353	1911	3487
354	1911	3473
355	1912	3459
356	1913	3445
357	1913	3432
358	1914	3418
359	1915	3404
360	1915	3390
361	1916	3377
362	1916	3363
363	1917	3350
364	1918	3337
365	1919	3324
366	1919	3311
367	1920	3298
368	1921	3285
369	1922	3273
370	1922	3260
371	1923	3247
372	1924	3234
373	1924	3221
374	1925	3209
375	1926	3196
376	1926	3184
377	1927	3171
378	1928	3159
379	1928	3146
380	1929	3134
381	1930	3122
382	1930	3110
383	1931	3098
384	1932	3086
385	1932	3074
386	1933	3062
387	1933	3050
388	1934	3038
389	1935	3027
390	1936	3016
391	1937	3004
392	1937	2993
393	1938	2981
394	1939	2970
395	1939	2958
396	1940	2947
397	1941	2936
